STATION,YEAR,PRECIPITATION
LIMST,1966,120.33333333333333
LIMST,1967,145.25
LIMST,1968,93.0
LIMST,1969,112.66666666666667
LIMST,1970,104.83333333333333
LIMST,1971,135.91666666666666
LIMST,1972,104.75
LIMST,1973,78.75
LIMST,1974,97.58333333333333
LIMST,1975,89.16666666666667
LIMST,1976,107.67204362801378
LIMST,1977,142.33333333333334
LIMST,1978,174.08333333333334
LIMST,1979,69.41666666666667
LIMST,1980,106.16666666666667
LIMST,1981,126.14734299516908
LIMST,1982,141.66666666666666
LIMST,1983,203.75
LIMST,1984,156.66666666666666
LIMST,1985,131.58333333333334
LIMST,1986,126.91666666666667
LIMST,1987,117.58333333333333
LIMST,1988,119.33333333333333
LIMST,1989,86.66666666666667
LIMST,1990,142.16666666666666
LIMST,1991,117.22179487179487
LIMST,1992,145.1408424908425
LIMST,1993,157.0551282051282
LIMST,1994,129.83333333333334
LIMST,1995,86.5
LIMST,1996,89.08333333333333
LIMST,1997,94.41666666666667
LIMST,1998,144.83333333333334
LIMST,1999,113.91666666666667
LIMST,2000,123.33333333333333
LIMST,2001,109.33333333333333
LIMST,2002,81.16666666666667
LIMST,2003,89.33333333333333
LIMST,2004,86.25
LIMST,2005,76.16666666666667
LIMST,2006,93.5
LIMST,2007,100.58333333333333
LIMST,2008,116.25
LIMST,2009,73.33333333333333
LIMST,2010,139.5
LIMST,2011,99.83333333333333
LIMST,2012,80.66666666666667
LIMST,2013,96.5
LIMST,2014,129.83333333333334
LIMST,2015,157.91666666666666
LIMST,2016,147.5
LIMST,2017,63.416666666666664
LIMST,2018,170.91666666666666
LIMST,2019,161.5
LIMST,2020,57.416666666666664
LIMST,2021,156.91666666666666
LIMST,2022,143.91666666666666
LIMST,2023,85.66666666666667
LIMST,2024,145.75075818589247
MCGIB,1946,151.85017831031783
MCGIB,1947,87.83333333333333
MCGIB,1948,94.33333333333333
MCGIB,1949,177.6830065359477
MCGIB,1950,121.83333333333333
MCGIB,1951,163.75
MCGIB,1952,129.08333333333334
MCGIB,1953,111.99673202614379
MCGIB,1954,153.75
MCGIB,1955,184.2439999899331
MCGIB,1956,77.83333333333333
MCGIB,1957,139.33333333333334
MCGIB,1958,201.54901960784312
MCGIB,1959,191.91339869281046
MCGIB,1960,124.16666666666667
MCGIB,1961,176.16666666666666
MCGIB,1962,120.75
MCGIB,1963,128.41666666666666
MCGIB,1964,170.58333333333334
MCGIB,1965,177.5
MCGIB,1966,175.58333333333334
MCGIB,1967,185.75
MCGIB,1968,150.75
MCGIB,1969,116.41666666666667
MCGIB,1970,137.08333333333334
MCGIB,1971,176.66666666666666
MCGIB,1972,128.75
MCGIB,1973,122.16666666666667
MCGIB,1974,195.76633986928104
MCGIB,1975,156.08333333333334
MCGIB,1976,158.58333333333334
MCGIB,1977,186.15816326530611
MCGIB,1978,232.16666666666666
MCGIB,1979,180.74350940376152
MCGIB,1980,165.64965986394557
MCGIB,1981,169.08333333333334
MCGIB,1982,180.0
MCGIB,1983,288.75
MCGIB,1984,262.1666666666667
MCGIB,1985,179.16666666666666
MCGIB,1986,156.41666666666666
MCGIB,1987,207.66666666666666
MCGIB,1988,231.16666666666666
MCGIB,1989,114.75
MCGIB,1990,161.9748427672956
MCGIB,1991,165.52528324537363
MCGIB,1992,207.16666666666666
MCGIB,1993,164.66666666666666
MCGIB,1994,226.25
MCGIB,1995,122.08333333333333
MCGIB,1996,155.36965986394557
MCGIB,1997,165.16666666666666
MCGIB,1998,186.7529931972789
MCGIB,1999,108.74149659863946
MUHLE,1922,95.31092400216413
MUHLE,1923,129.75
MUHLE,1924,71.5
MUHLE,1925,104.25
MUHLE,1926,147.5
MUHLE,1927,97.5
MUHLE,1928,76.83333333333333
MUHLE,1929,81.5
MUHLE,1930,126.58333333333333
MUHLE,1931,163.83333333333334
MUHLE,1932,111.5
MUHLE,1933,54.833333333333336
MUHLE,1934,88.58333333333333
MUHLE,1935,139.33333333333334
MUHLE,1936,119.75
MUHLE,1937,109.08333333333333
MUHLE,1938,82.66666666666667
MUHLE,1939,107.75
MUHLE,1940,118.33333333333333
MUHLE,1941,122.91666666666667
MUHLE,1942,81.40899659863946
